Date : 2022-08-25 22:24:19
Directory : /Users/bsluther/development/gainzville/src
Total : 131 files,  4340 codes, 125 comments, 578 blanks, all 5043 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         58 |      2,765 |        103 |        323 |      3,191 |
| JavaScript       |         72 |      1,572 |          9 |        253 |      1,834 |
| CSS              |          1 |          3 |         13 |          2 |         18 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        131 |      4,340 |        125 |        578 |      5,043 |
| auth                                                                                                     |          1 |         22 |          1 |          4 |         27 |
| components                                                                                               |         33 |      2,002 |         58 |        254 |      2,314 |
| components/activity                                                                                      |          7 |        561 |          6 |         76 |        643 |
| components/auth                                                                                          |          4 |         44 |          0 |         10 |         54 |
| components/facet                                                                                         |          5 |        523 |          9 |         54 |        586 |
| components/library                                                                                       |          1 |        129 |          1 |         13 |        143 |
| components/nav                                                                                           |          1 |         58 |          6 |          4 |         68 |
| components/type                                                                                          |          8 |        348 |         34 |         61 |        443 |
| components/user                                                                                          |          1 |         20 |          0 |          2 |         22 |
| data                                                                                                     |         23 |        282 |          3 |         55 |        340 |
| data/typeConstructor                                                                                     |          1 |         24 |          0 |          3 |         27 |
| data/typeInstance                                                                                        |          8 |         33 |          0 |         21 |         54 |
| data/typeTemplate                                                                                        |         10 |        154 |          0 |         19 |        173 |
| hooks                                                                                                    |         44 |      1,106 |          3 |        147 |      1,256 |
| hooks/activity                                                                                           |         14 |        282 |          0 |         40 |        322 |
| hooks/entity                                                                                             |          1 |         41 |          0 |          9 |         50 |
| hooks/facet                                                                                              |          3 |         62 |          0 |          9 |         71 |
| hooks/queries                                                                                            |         19 |        608 |          2 |         67 |        677 |
| hooks/queries/activity                                                                                   |          9 |        267 |          0 |         34 |        301 |
| hooks/queries/activity/instance                                                                          |          5 |        167 |          0 |         21 |        188 |
| hooks/queries/activity/template                                                                          |          4 |        100 |          0 |         13 |        113 |
| hooks/queries/facet                                                                                      |          1 |         29 |          0 |          2 |         31 |
| hooks/queries/library                                                                                    |          6 |        237 |          2 |         25 |        264 |
| hooks/queries/type                                                                                       |          1 |         30 |          0 |          2 |         32 |
| hooks/queries/user                                                                                       |          2 |         45 |          0 |          4 |         49 |
| hooks/type                                                                                               |          3 |         66 |          1 |          9 |         76 |
| pages                                                                                                    |          3 |        151 |          0 |         17 |        168 |
| pages/record                                                                                             |          3 |        151 |          0 |         17 |        168 |
| state                                                                                                    |          3 |        130 |          3 |         32 |        165 |
| svg                                                                                                      |         14 |        265 |          0 |         10 |        275 |
| utility                                                                                                  |          2 |         54 |          0 |         19 |         73 |
| z_TO_BE_DELETED                                                                                          |          5 |        278 |          0 |         29 |        307 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                 | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/bsluther/development/gainzville/src/App.jsx                                                       | JavaScript React |         26 |         43 |          6 |         75 |
| /Users/bsluther/development/gainzville/src/auth/Auth0ProviderWithHistory.jsx                             | JavaScript React |         22 |          1 |          4 |         27 |
| /Users/bsluther/development/gainzville/src/components/BookmarkDialog.jsx                                 | JavaScript React |        186 |          0 |         12 |        198 |
| /Users/bsluther/development/gainzville/src/components/EntityListbox.jsx                                  | JavaScript React |         41 |          2 |          4 |         47 |
| /Users/bsluther/development/gainzville/src/components/Loading.jsx                                        | JavaScript React |         23 |          0 |          5 |         28 |
| /Users/bsluther/development/gainzville/src/components/Welcome.jsx                                        | JavaScript React |         36 |          0 |          7 |         43 |
| /Users/bsluther/development/gainzville/src/components/WithIcons.jsx                                      | JavaScript React |         12 |          0 |          3 |         15 |
